date,ticker,action,quantity,price
2026-03-17,SGOV,BUY,2030.436323,100.53
2026-03-17,QQQM,BUY,723.768412,247.17
2026-03-17,JEPI,BUY,2304.771869,57.59
2026-03-17,SPY,BUY,188.573197,669.03
2026-03-17,VOO,BUY,190.113752,615.19
2026-03-17,CHAT,BUY,1188.745412,65.05
2026-03-17,QQQ,BUY,78.646649,600.31
2026-03-17,WMT,BUY,316.782,125.99
2026-03-17,BRK.B,BUY,68.01091,490.06
2026-03-17,ARKVX,BUY,463.822,48.99
2026-03-17,VIG,BUY,79.630533,219.26
2026-03-17,GOOGL,BUY,56.157375,305.56
2026-03-17,TLT,BUY,123.559787,87.21
2026-03-17,MSFT,BUY,25.068931,399.95
2026-03-17,COPX,BUY,60,78.66
2026-03-17,RVI,BUY,160,22.75
